EEG,t_EEG
5.767998,0
-0,0.01
-5.951109,0.02
-4.669332,0.03
3.845332,0.04
7.324442,0.05
6.500443,0.06
-3.295999,0.07
-16.29688,0.08
-19.9591,0.09
-13.64177,0.1
-0.6408887,0.11
12.90933,0.12
20.59999,0.13
21.05777,0.14
15.47288,0.15
5.767998,0.16
-1.281777,0.17
-4.028443,0.18
-2.746666,0.19
-1.922666,0.2
2.563555,0.21
4.211555,0.22
0.09155553,0.23
1.281777,0.24
3.204443,0.25
5.310221,0.26
7.232887,0.27
6.317331,0.28
2.471999,0.29
-4.028443,0.3
-2.929777,0.31
-4.577776,0.32
-6.866664,0.33
2.288888,0.34
5.951109,0.35
9.521775,0.36
10.62044,0.37
7.049776,0.38
7.232887,0.39
2.929777,0.4
-0.4577776,0.41
0.09155553,0.42
-1.831111,0.43
-6.225776,0.44
-7.965331,0.45
-9.796441,0.46
-11.81066,0.47
-11.62755,0.48
-9.247108,0.49
-5.310221,0.5
-2.380444,0.51
3.753777,0.52
6.95822,0.53
7.507553,0.54
8.78933,0.55
6.500443,0.56
7.965331,0.57
9.521775,0.58
10.52889,0.59
14.92355,0.6
13.09244,0.61
10.80355,0.62
15.28977,0.63
14.74044,0.64
6.866664,0.65
3.662221,0.66
1.648,0.67
-7.232887,0.68
-17.21244,0.69
-21.69866,0.7
-15.19822,0.71
-1.556444,0.72
12.90933,0.73
24.53688,0.74
26.09332,0.75
18.95199,0.76
4.486221,0.77
-2.746666,0.78
-8.423109,0.79
-17.94488,0.8
-18.21955,0.81
-21.42399,0.82
-22.70577,0.83
-22.79733,0.84
-19.59288,0.85
-9.979552,0.86
-5.767998,0.87
-3.021333,0.88
-6.408887,0.89
-13.91644,0.9
-16.02222,0.91
-22.4311,0.92
-27.55821,0.93
-22.98044,0.94
-24.35377,0.95
-28.1991,0.96
-30.85421,0.97
-34.05865,0.98
-35.06577,0.99
-30.94577,1
-24.71999,1.01
-21.24088,1.02
-14.19111,1.03
-10.16266,1.04
-9.521775,1.05
-7.690664,1.06
-9.247108,1.07
-7.232887,1.08
-3.936888,1.09
-1.098666,1.1
8.697775,1.11
14.64888,1.12
19.04355,1.13
29.93866,1.14
32.68532,1.15
31.76977,1.16
34.33332,1.17
34.42488,1.18
34.05865,1.19
29.20621,1.2
22.52266,1.21
21.88177,1.22
23.43822,1.23
23.07199,1.24
27.64977,1.25
32.22755,1.26
31.76977,1.27
34.60799,1.28
34.24177,1.29
30.57955,1.3
26.27644,1.31
24.44533,1.32
31.58666,1.33
37.2631,1.34
45.13688,1.35
55.39109,1.36
55.94043,1.37
55.02487,1.38
51.91198,1.39
50.99643,1.4
52.46132,1.41
48.24976,1.42
44.49599,1.43
41.56621,1.44
40.10132,1.45
38.17865,1.46
38.27021,1.47
40.74221,1.48
43.94666,1.49
46.78487,1.5
49.6231,1.51
52.36976,1.52
53.55998,1.53
57.22221,1.54
61.79998,1.55
60.79287,1.56
50.81332,1.57
40.46754,1.58
34.33332,1.59
31.86132,1.6
29.38932,1.61
31.58666,1.62
36.80532,1.63
34.33332,1.64
31.22044,1.65
23.2551,1.66
15.93066,1.67
10.16266,1.68
0.3662221,1.69
-2.014222,1.7
-4.211555,1.71
-0.7324442,1.72
3.570666,1.73
1.831111,1.74
2.746666,1.75
1.922666,1.76
4.577776,1.77
4.852443,1.78
1.831111,1.79
-0.7324442,1.8
-6.683554,1.81
-7.873775,1.82
-3.021333,1.83
5.401776,1.84
14.832,1.85
18.76888,1.86
19.68444,1.87
20.59999,1.88
18.58577,1.89
15.93066,1.9
13.27555,1.91
5.310221,1.92
-4.028443,1.93
-10.25422,1.94
-12.45155,1.95
-10.98666,1.96
-7.415998,1.97
1.098666,1.98
8.972442,1.99
10.62044,2
5.12711,2.01
-2.838221,2.02
-5.951109,2.03
-7.78222,2.04
-3.936888,2.05
2.563555,2.06
3.47911,2.07
7.965331,2.08
10.52889,2.09
9.155553,2.1
6.775109,2.11
5.676443,2.12
4.394665,2.13
-4.852443,2.14
-13.64177,2.15
-19.04355,2.16
-17.76177,2.17
-12.81777,2.18
-8.514664,2.19
-3.570666,2.2
-0.09155553,2.21
-0.8239998,2.22
-8.972442,2.23
-13.73333,2.24
-8.606219,2.25
0.4577776,2.26
7.507553,2.27
7.141331,2.28
2.746666,2.29
-2.838221,2.3
-11.07822,2.31
-8.880886,2.32
-1.373333,2.33
-1.098666,2.34
-1.464888,2.35
-10.712,2.36
-22.4311,2.37
-28.01599,2.38
-27.28355,2.39
-19.31822,2.4
-9.796441,2.41
-2.105777,2.42
3.204443,2.43
3.662221,2.44
-2.197333,2.45
-3.936888,2.46
-5.035554,2.47
-8.697775,2.48
-12.45155,2.49
-18.95199,2.5
-15.38133,2.51
-7.415998,2.52
-4.943998,2.53
-1.556444,2.54
-4.394665,2.55
-8.697775,2.56
-15.01511,2.57
-21.33244,2.58
-21.69866,2.59
-20.96622,2.6
-10.98666,2.61
1.007111,2.62
0.6408887,2.63
-5.859554,2.64
-10.16266,2.65
-14.55733,2.66
-21.69866,2.67
-27.74133,2.68
-30.57955,2.69
-29.38932,2.7
-29.20621,2.71
-28.47377,2.72
-20.69155,2.73
-14.28266,2.74
-15.10666,2.75
-22.61422,2.76
-33.69244,2.77
-42.84799,2.78
-47.9751,2.79
-52.0951,2.8
-56.67287,2.81
-53.9262,2.82
-47.88354,2.83
-43.21421,2.84
-41.3831,2.85
-38.81955,2.86
-35.06577,2.87
-38.36177,2.88
-40.10132,2.89
-36.07288,2.9
-31.58666,2.91
-26.91733,2.92
-21.60711,2.93
-19.13511,2.94
-20.87466,2.95
-24.99466,2.96
-29.0231,2.97
-28.65688,2.98
-27.64977,2.99
-27.28355,3
-28.29066,3.01
-31.4951,3.02
-34.24177,3.03
-33.1431,3.04
-27.74133,3.05
-23.07199,3.06
-16.84622,3.07
-10.16266,3.08
-8.331553,3.09
-6.500443,3.1
-5.859554,3.11
-8.514664,3.12
-13.36711,3.13
-26.36799,3.14
-36.07288,3.15
-36.89688,3.16
-35.43199,3.17
-31.4951,3.18
-30.85421,3.19
-31.58666,3.2
-32.13599,3.21
-30.6711,3.22
-23.34666,3.23
-17.48711,3.24
-14.19111,3.25
-13.27555,3.26
-15.93066,3.27
-16.20533,3.28
-17.02933,3.29
-21.79022,3.3
-19.77599,3.31
-11.07822,3.32
-9.887997,3.33
-11.62755,3.34
-14.92355,3.35
-20.69155,3.36
-20.14222,3.37
-18.86044,3.38
-14.19111,3.39
-11.536,3.4
-10.89511,3.41
-0.6408887,3.42
8.606219,3.43
15.19822,3.44
18.76888,3.45
17.21244,3.46
11.35289,3.47
4.30311,3.48
5.310221,3.49
11.99377,3.5
14.74044,3.51
12.90933,3.52
7.78222,3.53
4.577776,3.54
6.408887,3.55
9.338664,3.56
11.71911,3.57
13.73333,3.58
9.338664,3.59
-1.098666,3.6
-1.464888,3.61
12.90933,3.62
26.73421,3.63
30.94577,3.64
29.20621,3.65
19.68444,3.66
9.796441,3.67
8.148442,3.68
20.41688,3.69
38.0871,3.7
46.87643,3.71
44.95377,3.72
33.87555,3.73
26.45955,3.74
28.93155,3.75
35.52354,3.76
41.19999,3.77
38.54488,3.78
31.12888,3.79
23.89599,3.8
17.85333,3.81
17.02933,3.82
18.95199,3.83
23.07199,3.84
24.26221,3.85
20.59999,3.86
14.74044,3.87
5.218665,3.88
-2.380444,3.89
-7.78222,3.9
-14.55733,3.91
-24.0791,3.92
-26.09332,3.93
-16.11377,3.94
-4.577776,3.95
2.471999,3.96
6.317331,3.97
10.34577,3.98
10.25422,3.99
8.056887,4
6.500443,4.01
7.324442,4.02
6.408887,4.03
-3.47911,4.04
-13.184,4.05
-19.86755,4.06
-23.80444,4.07
-17.67022,4.08
-7.78222,4.09
-1.739555,4.1
1.281777,4.11
4.119999,4.12
3.112888,4.13
-4.852443,4.14
-10.34577,4.15
-13.00089,4.16
-16.38844,4.17
-17.48711,4.18
-14.64888,4.19
-9.704886,4.2
-6.500443,4.21
-10.98666,4.22
-18.67733,4.23
-21.14933,4.24
-27.46666,4.25
-30.85421,4.26
-23.80444,4.27
-17.57866,4.28
-6.683554,4.29
4.577776,4.3
7.599109,4.31
10.25422,4.32
10.80355,4.33
10.07111,4.34
9.155553,4.35
7.049776,4.36
11.26133,4.37
16.66311,4.38
18.86044,4.39
16.66311,4.4
8.514664,4.41
-2.105777,4.42
-14.19111,4.43
-24.71999,4.44
-30.76266,4.45
-28.29066,4.46
-12.81777,4.47
8.514664,4.48
22.33955,4.49
29.75555,4.5
32.41066,4.51
29.93866,4.52
21.60711,4.53
13.45866,4.54
16.02222,4.55
20.32533,4.56
22.88888,4.57
26.00177,4.58
26.64266,4.59
22.52266,4.6
15.10666,4.61
17.48711,4.62
25.7271,4.63
35.24888,4.64
43.67199,4.65
44.86221,4.66
48.06665,4.67
47.70043,4.68
42.02399,4.69
42.57332,4.7
45.86932,4.71
53.01065,4.72
66.01154,4.73
71.96265,4.74
72.14576,4.75
67.01865,4.76
59.41954,4.77
57.31376,4.78
53.28532,4.79
52.55287,4.8
51.17954,4.81
54.20087,4.82
61.34221,4.83
64.54665,4.84
67.01865,4.85
63.90576,4.86
62.1662,4.87
58.96176,4.88
51.72887,4.89
44.40443,4.9
37.07999,4.91
36.07288,4.92
45.77776,4.93
56.3982,4.94
59.60265,4.95
53.55998,4.96
43.12265,4.97
34.97421,4.98
21.51555,4.99
12.26844,5
8.606219,5.01
7.599109,5.02
13.73333,5.03
20.87466,5.04
20.23377,5.05
15.10666,5.06
8.880886,5.07
-3.845332,5.08
-8.056887,5.09
-16.02222,5.1
-26.00177,5.11
-23.62133,5.12
-23.80444,5.13
-19.86755,5.14
-8.514664,5.15
1.373333,5.16
8.331553,5.17
13.00089,5.18
12.54311,5.19
12.45155,5.2
8.972442,5.21
5.401776,5.22
7.690664,5.23
13.09244,5.24
21.69866,5.25
23.62133,5.26
25.36088,5.27
19.68444,5.28
9.979552,5.29
3.662221,5.3
-3.753777,5.31
-1.373333,5.32
3.021333,5.33
4.852443,5.34
8.148442,5.35
13.55022,5.36
10.712,5.37
0.4577776,5.38
-11.62755,5.39
-26.09332,5.4
-37.53777,5.41
-39.27732,5.42
-32.95999,5.43
-27.64977,5.44
-20.50844,5.45
-17.21244,5.46
-18.31111,5.47
-17.85333,5.48
-19.86755,5.49
-21.60711,5.5
-19.77599,5.51
-14.46577,5.52
-6.591998,5.53
0.3662221,5.54
2.380444,5.55
-1.556444,5.56
-6.042665,5.57
-10.62044,5.58
-14.832,5.59
-16.29688,5.6
-14.64888,5.61
-14.008,5.62
-7.507553,5.63
1.556444,5.64
-0.3662221,5.65
-0.9155553,5.66
-1.190222,5.67
-7.141331,5.68
-13.00089,5.69
-15.656,5.7
-13.36711,5.71
-9.155553,5.72
